,Question,Answer
204,                                I am a health worker. How can I help women survivors of violence during COVID-19?                            ,"As a health worker, there are things you can do to help mitigate the impacts of violence on women and children at any time, including during the COVID-19 pandemic.   Whilst your time and resources may be stretched during this health emergency, you have a duty of care to women who may seek help from you – often to address physical and mental hurt caused by violence.   You may need to adjust how you deliver services, if face-to-face care is not possible. Depending on your resources consider mobile phone, WhatsApp or other communication channels to deliver support, always ensuring you can do this in a way that is safe for the survivor. Communicate openly with women about any changes in service delivery.   If a woman with suspected or confirmed COVID-19 seeks your care because of violence, your response should be the same as for any other survivor. You should however ensure that you are protected from infection, by maintaining distance where possible, wearing protective clothing, practicing respiratory hygiene, and washing hands and surfaces with soap and water regularly and after touching, to avoid infection. In any circumstances, including during the COVID-19 pandemic, health workers should provide first-line support, using the LIVES approach to help women survivors of violence:  Listen closely, with empathy and no judgement Inquire about women’s needs and concerns Validate women’s experiences. Show you believe and understand. Enhance their safety. Support women to connect with additional services.  "
205,                                I run a health facility. What can I do to support women survivors of violence during COVID-19?                            ,"Identify information on local services for survivors, including on hotlines, shelters, rape crisis centers, and counselling.  Find out opening hours, contact details and whether these services can be offered remotely, and establish referral linkages.  Make these available to health care providers and easily accessible to patients/clients coming to your facility.  Support the health care providers in your facility to continue to support women survivors of violence during this time. Be prepared to shift rapidly to providing care through alternative ways, by creating effective response plans; for example, by ensuring frontline healthcare workers have phones and can charge them.  Ensure there is a protocol in place to ensure continued safe document storage in case of sudden lockdown. Inform survivors of ways they can protect themselves, and provide small credit card-size cards listing relevant phone numbers for support "
206,                                I am a policy maker. What can I do to prevent and address violence against women during COVID-19?                            ,"When making preparedness and response plans for the COVID-19 pandemic, include essential services for violence against women. Allocate adequate resources for services for survivors and identify ways to make them accessible – particularly in the context of measures to restrict people’s movement. Explore the use of telemedicine, digital health, or mhealth to enhance access to support and services for survivors, while ensuring this is safe for them.  Explore alternative shelters for women who may require this. Ensure that lockdown measures do not penalize women for seeking support when experiencing violence, such as by going to the police or hospital to report violence. "
207,                                Has violence against women increased since the beginning of the COVID-19 pandemic?                            ,"Violence against women is highly prevalent, and intimate partner violence is the most common form of violence. During health emergencies, such as the COVID-19 pandemic, violence against women tends to increase.  Whilst data are scarce, reports from across the world, including China, the United Kingdom, the United States of America, and other countries suggest a significant increase in domestic violence cases related to the COVID-19 pandemic. Reports from other countries suggest a reduction in survivors seeking services due to a combination of lockdown measures and not wanting to attend health services for fear of infection.  "
208,                                How does COVID-19 increase risks of violence for women?                            ,"Stress, the disruption of social and protective networks, loss of income and decreased access to services all can exacerbate the risk of violence for women. In many countries, where people are encouraged or required to stay at home, the risk of intimate partner violence is likely to increase. Please see the following resource for more detail: https://www.who.int/reproductivehealth/publications/emergencies/COVID-19-VAW-full-text.pdf In addition, access to sexual and reproductive health services will likely become more limited. Other services, such as hotlines, crisis centers, shelters, legal aid, and protection services, may also be reduced, making it difficult for women to access the few sources of help that would usually be available.  "
209,                                Who is most vulnerable?                            ,"                                Women who are displaced, who are migrants or refugees, and those living in conflict-affected areas, older women and women with disabilities are particularly at risk of violence and are likely to be disproportionately affected by violence during COVID-19.  "
210,                                Why should I care about violence against women during COVID-19?                            ,"Violence against women is a grave violation of women’s human rights, no matter when, where, or how it takes place. There are many forms of violence against women, which have many potential negative health consequences for women and their children.  Violence against women can result in injuries and serious physical, mental, sexual and reproductive health problems, including sexually transmitted infections, HIV, and unplanned pregnancies. In extreme cases, violence against women can result in death. The effects of violence are very often long-lived. Violence – in all its forms – can have an impact on a woman’s well-being throughout the rest of her life. This is unacceptable, and the risks of violence that women and their children face during the current COVID-19 crisis cannot be ignored. When we are able to prevent violence, or to support women survivors of violence, we help to safeguard women’s human rights, and promote physical and mental health and well-being for women throughout their lives. This also helps to alleviate pressure on already stretched essential public services, including the health system. "
211, Will COVID-19 have negative impacts on global food security?,"Both lives and livelihoods are at risk from this pandemic.

Though in some countries the spread of the pandemic has been slowing down and cases are decreasing, in others, COVID-19 is resurging or continuing to spread quickly. This is still a global problem calling for a global response. 

We know that it will eventually retreat, but we don’t know how fast this will happen. We also know that this shock is somewhat unusual as it affects significant elements of both food supply and demand.

We risk a looming food crisis unless measures are taken fast to protect the most vulnerable, keep global food supply chains alive and mitigate the pandemic’s impacts across the food system. 

Border closures, quarantines, and market, supply chain and trade disruptions are restricting people’s access to sufficient/diverse and nutritious sources of food, especially in countries hit hard by the virus or already affected by high levels of food insecurity. 

But there is no need for the world to panic. Globally, there is enough food for everyone. Policy makers around the world need to be careful not to repeat the mistakes made during the 2007-08 food crisis, and turn this health crisis into an entirely avoidable food crisis. 

FAO is particularly concerned about people's access to food in the medium and long run. The significant slowdown of all economies of the world and specially of the most vulnerable ones  - as unemployment rates have risen, and COVID-19's economic impacts will be felt more - will make countries, especially food import-dependent countries, struggle to have the needed resources to buy food. In turn, as demand for food will decrease over the next months, prices should go down in 2020, and this will have a negative impact on farmers and the agricultural sector. 

As of now, disruptions have been minimal as food supply has been adequate and markets have been stable so far. However, we have already seen challenges in terms of logistics bottlenecks (not being able to move food from point A to point B), which have by mid-April largely resolved; and likely, there is less food of high-value commodities (i.e. fruits and vegetables) being brought to market.

As of May, we still expect disruptions in the food supply chains especially in the high value commodities (fruits, vegetables, meat, fish, milk, etc.). For example: restrictions of movement, as well as basic aversion behaviour by workers, may impede farmers from farming and food processors - who handle the vast majority of agricultural products - from processing. Shortage of fertilizers, veterinary medicines and other input could affect agricultural production. Closures of restaurants and less frequent grocery shopping diminish demand for fresh produce and fisheries products, affecting producers and suppliers. Sectors in agriculture, fisheries and aquaculture are particularly affected by restrictions on tourism, closure of restaurants and café and school meals suspension. 

In any scenario, the most affected will be the poorest and most vulnerable segments of the population, (including migrants, the displaced, and those hit by conflict). Countries in protracted crises also suffer from underinvestment in public health, which will amplify the pandemic’s impacts.

(More info under Q 3, 4)."
212, Whose food security and livelihoods are most at risk due to the pandemic?,"Some 820 million people around the world are experiencing hunger – consuming an insufficient amount of calories (dietary energy) for a normal, active life for a long period (2018, latest data available). Hunger (or chronic undernourishment) impacts everyone negatively, but it is particularly damaging on children’s growth and development, its effects are irreversible and carry long-term implications for our future and sustainable development.  

According to an FAO analysis (24 April), in the absence of timely and effective policies, millions more are likely to join the ranks of the hungry as a result of the COVID-19-triggered recession. That number will vary according to the severity of economic contractions, ranging from 14.4 million to 38.2 million, or even 80.3 million more hungry people should there be a contraction of 2, 5 or 10 percentage points, respectively, in all 101 net food-importing countries' GDP growth.

If this happens, it could lead to a longer-term setback to global Zero Hunger efforts. We would be faced not with a food crisis of a few months, but a crisis with potentially serious consequences in the long run.

At the same time, at the end of 2019, 135 million people across 55 countries and territories were estimated to be experiencing crisis levels of acute food insecurity (situations in which a sudden crisis or a shock leads to food insecurity levels so extreme that people’s lives or livelihoods are in immediate danger) according to the 2020 Global Food Crises report released in April. This means they were coping with Crisis or Emergency or Catastrophe levels of food insecurity, as measured on the IPC integrated food security classification scale. More than half (73 million) of the 135 million people facing crisis levels of acute food insecurity live in Africa; 43 million live in the Middle East and Asia; 18.5 million live in Latin America and the Caribbean.

In the 55 countries and territories covered by the report, 75 million children were stunted and 17 million suffered from wasting in 2019.

This is the highest level of acute food insecurity and malnutrition at crisis levels since the first edition of the report in 2017.

What is also worrying is that as of end of 2019, a further 183 million people in the 55 countries and territories were found to be exposed to acute food insecurity – not yet at crisis level, outing them at risk of slipping into crisis levels if faced with a shock or stressor, such as the COVID-19 pandemic.

Indeed, If COVID-19 cases proliferate in countries home to millions of people experiencing acute food insecurity, many of whose public health and social protection systems face capacity constraints – the consequences could be drastic.

FAO is particularly concerned about the pandemic’s impacts on vulnerable communities already grappling with hunger or other crises – the Desert Locust outbreak in the Horn of Africa, insecurity in Yemen or the Sahel, for example – as well as countries that rely heavily on food imports, such as Small Islands Developing States, and countries that depend on primary exports like oil.  

For example, countries significantly dependent on primary commodity exports (food, raw materials, fuels) are and will be affected by the significant reduction of demand from developed countries. For examples, countries in Africa can't export their produces (oil, cotton, for example) so their revenues will continue falling. Also, it has been harder for small islands and territories because tourism, their major source of revenue, has been closed down and will probably continue like this or significantly slow down until a vaccine or a treatment becomes available. Small islands and territories are also in many cases oil export-dependent. They also depend on remittances, which have been reduced by 20%, are vulnerable to climatic shocks, and depend on food imports. 

Vulnerable groups also include small-scale farmers, migrant and informal workers, pastoralists, and fishers who might be hindered from working their land, caring for their livestock, or fishing. They will also face challenges accessing markets to sell their products or buy essential inputs, or struggle due to higher food prices and limited purchasing power. Informal labourers will be hard hit by job and income losses in harvesting and processing. Millions of children are already missing out on the school meals they have come to rely upon, many of them with no formal access to social protection, including health insurance.

For example, in Latin America and the Caribbean, FAO-supported school meals programmes benefit 85 million children. Some 10 million children depend on them as the meals constitute one of their most reliable sources of food each day. The suspension of the school meals programs due to the pandemic puts vulnerable children’s food security and nutrition at risk whilst weakening their capacity to cope with diseases.

In addition to agriculture, other sector-specific effects are also expected – for example, fish provide more than 20 percent of the average per capita animal protein intake for 3 billion people, more than 50 percent in some less developed countries, and it is one of the most traded food commodities globally. Thus, the impact on the livelihoods of fisher communities, food security, nutrition and trade, especially in those countries, which rely heavily on the fishing sector, is expected to be significant.

We also know from dealing with past health crises that these can have a drastic effect on food security, especially that of vulnerable communities.

Quarantines and panic during the Ebola Virus Disease outbreak in Sierra Leone (2014-2016), for example, led to a spike in hunger and malnutrition. The suffering worsened as restrictions on movement led both to labour shortages at harvest time even as other farmers were unable to bring their produce to market. The systemic effect was akin to that of an earthquake, highlighting how prevention and risk reduction strategies now are paramount."
213," What are the implications of the COVID-19 situation – now and in the future – for food production, agricultural and fishery/aquaculture supply chains and markets?","The food supply chain is a complex web that involves producers, consumers, agricultural and fishery inputs, processing and storage, transportation and marketing, etc.

As of now, disruptions are minimal, as food supply has been adequate, and markets have been stable so far. Global cereal stocks are at comfortable levels and the outlook for wheat and other major staple crops for 2020 is positive. 

Although less food production of high value commodities (i.e. fruits and vegetables) is already likely, they are not as yet noticeable because of the lockdowns and disruption in the value chain 

In the fisheries and aquaculture sector, the implications can vary and be quite complex. For wild-capture fisheries, the inability of fishing vessels to operate (due to limited or collapse of market as well as sanitary measures difficult to abide to on board of a vessel) can generate a domino effect throughout the value chains in terms of supply of products, in general, and the availability of specific species. In addition, for wild-capture fisheries and aquaculture, problems in logistics associated with restriction in transportation, border closures, and the reduced demand in restaurants and hotels can generate significant market changes – affecting prices.

Challenges in terms of the logistics involving the movement of food (not being able to move food from point A to point B) noted at the onset mainly of the restrictions have been mostly solved by mid-April. The pandemic is impacting on livestock sector due to reduced access to animal feed and slaughterhouses’ diminished capacity (due to logistical constraints and labour shortages) similar to what happened in China.

As of May we expect to see disruptions in the food supply chains.

Blockages to transport routes are particularly obstructive for fresh food supply chains and may also result in increased levels of food loss and waste. Fresh fish and aquatic products, which are highly perishable and therefore need to be sold, processed or stored in a relatively limited time are at particular risk.

Transport restrictions and quarantine measures are likely to impede farmers’ and fishers’ access to markets, curbing their productive capacities and hindering them from selling their produce.

Shortages of labour could disrupt production and processing of food, notably for labour-intensive industries (e.g. high-value crops, meat and fish).

The closure of restaurants and street food outlets removes a key market for many producers and processors that may produce a temporary glut or trigger upstream production cuts as can be seen in the fish and meat sectors. In some developing countries, urban supply and demand for fresh produce are both in decline due to restrictions and aversion behaviour by traders and consumers.

Developing countries are particularly at risk as COVID-19 can lead to a reduction in labour force, and affect incomes and livelihoods as well as labour intensive forms of production (agriculture, fisheries/aquaculture). Of particular concern is sub-Saharan Africa where most of the countries experiencing food crises are, and where the pandemic is spreading at crucial times for both farmers and herders – when people need access to seeds and other inputs, and to their farms to plant, and when nomadic herders need to move with their animals in search of pastures and water sources as these increasingly dry up before the rainy season sets in.

The need to upgrade international standards for hygiene, working conditions and living facilities on agricultural activities and on-board fishing vessels, as well as throughout the fish value chain, need to be reconsidered in the light of the pandemic."
214, How will the pandemic affect food demand?,"The 2008 financial crisis showed us what can happen when reduced income and uncertainty make people spend less and result in shrinking demand. Sales declined. So did production. Moreover, the most affected were forced to revert to negative coping strategies - such as selling of productive assets, less diverse diets, overfishing – to compensate for income constraints.

At the onset of the COVID-19 outbreak, there has been a significant increase in demand.

Food demand is generally inelastic and its effect on overall consumption will be likely limited, although dietary patterns may alter. There is a possibility of a disproportionately larger decline in animal protein consumption (as a result of fears – not science-based – that animals might be hosts of the virus, and other higher-valued products like fish, fruits and vegetables (which are likely to cause price slumps). These fears can be particularly true for raw fish products supplied to restaurants and hotels, including small and medium enterprises.

Food demand in poorer countries is more linked to income, and, here, loss of income-earning opportunities could impact on consumption.

Fear of contagion can translate in reduced visits to food markets, and we have seen a shift in how people buy and consume food - lower restaurant traffic, increased e-commerce deliveries (as evidenced in China), and a rise in eating at home. 

Following the outbreak of coronavirus, countries around the world started to implement a number of policy measures aimed at avoiding the further spread of the disease.

However, such measures might affect agricultural production and trade. For instance, many countries are implementing higher controls on cargo vessels, with the risk of jeopardizing shipping activities and with a particular risk to perishable goods, like fresh fruits and vegetables, fish and fish products.

Measures affecting the free movement of people, such as seasonal workers, might have an impact on food production, thus affecting market prices globally.

Measures to guarantee acceptable health standards in food factories, may slow down production."
215, How is the pandemic affecting or will affect food prices?,"As of early May, the international prices of some major food staples, such as maize, wheat, and palm oil, have declined. The only staple food that has seen rising prices is rice, and that’s was linked to the export restrictions of a key exporter. Since the 1st of May the export quota of Vietnam has been removed and therefore the concerns over rice are now resolved. 

At local level, in markets, especially in countries already affected by hunger and other crises, some food commodity prices are increasing mainly because of local logistical problems or import difficulties.

For example, in Syria, significant price increases (as much as 40-50 percent in food staples) and some shortages in basic goods have been reported since the middle of March. The price of vegetable seeds or other inputs that farmers need also rose. For example, pesticide prices recorded a 100 percent increase in Hama in April. The price of a pack of tomato seeds went up from $25 to $31 in mid-April in Homs. In Sudan, prices of staple foods increased sharply in March - over 10% - due to a further devaluation of the country’s currency, tight supplies as well as high production and transportation costs.

FAO is concerned about the medium and longer-term consequences of the pandemic. The significant slowdown of all economies of the world and specially of the most vulnerable ones  - as unemployment rates have risen, and COVID-19's economic impacts will be felt more - will make countries, especially food import-dependent countries, struggle to have the needed resources to buy food. In turn, as demand for food will decrease over the next months, prices should go down in 2020, and this will have a negative impact on farmers and the agricultural sector. 

Resources:

Food price monitoring and analysis

Daily food prices monitoring"
216, What is the pandemic’s impact on the global economy?,"There are several sources of effects over the global economy.

First, markets are more integrated and interlinked, with a Chinese economy that contributes 16 percent to the global gross domestic product. Thus, any shock that affects China now has far greater consequences for the world economy.   

Second, the supply shocks due to morbidity and mortality, but also the containment efforts that restrict mobility and higher costs of doing business due to restricted supply chains and a tightening of credit will affect economies leading to a reduction of economic growth or an economic recession.

In March, the OECD cut its forecast for global economic growth in 2020 from 2.9 percent to 2.4 percent, which would be the lowest level since the financial crisis a decade ago, warning that a prolonged and more intensive coronavirus epidemic could even halve this figure to a mere 1.5 percent.

Third, the demand will also fall due to higher uncertainty, increased precautionary behaviour, containment efforts, and rising financial costs that reduce the ability to spend.

Finally, there is a significant devaluation of the exchange rate with respect to the US dollar, which will also affect the import dependent countries.

Global food markets are not immune to these developments. However, they are likely to be less affected than other sectors that are more exposed to logistical disruptions and weakened demand, such as travel, manufacturing and energy markets (Source: Market Monitor, AMIS, March 2020). But given the complexity of the food value chains and the importance of trade and transportation, these could make them extremely vulnerable.

While COVID-19 likely represents a deflationary shock for the global economy, reflected in early moves by the FAO Food Price Index, in the short term the real cost of a healthy diet may rise because of the increase in the cost of perishable commodities, which would have a particularly adverse impact on lower-income households and raise the price of progress towards the Sustainable Development Goals. 

This effect, as shown in 2019 The State of Food Security and Nutrition in the World, will be most importantly in countries with high commodity-import dependence. Here, the negative effect is stronger, as a one percent increase in commodity-import dependence causes an average increase in undernourishment of 3.8 percent per year. When the country is food-import dependent, there is an average increase in undernourishment of 8% per year. Furthermore, the demand shock will contribute to prolonging and worsening the effect."
217, What are FAO’s recommendations to mitigate the risks of the pandemic on food security and nutrition?,"Pro-active measures are paramount and will cost less at a time when economic resources will be heavily needed. This is doubly the case given growing expectations of a global recession. Economic slowdowns or contractions were associated with rising hunger levels in 65 out of 77 countries in recent years, as FAO and partners warned in the 2019 The State of Food Security and Nutrition in the World report.

To avoid disruptions to the food supply chain and food production, FAO is urging all countries to:keep international trade open and take measures that protect their food supply chain (from obtaining inputs such as seeds to assuring smallholder farmers have access to markets to sell their produce).focus on the needs of the most vulnerable, and scale up social protection programmes including cash transfers.keep their domestic food supply value chains alive and functioning. taking all necessary precautions, seeds and planting materials must continue to flow to smallholders; animal feed to livestock breeders; and aquaculture inputs to fish farmers. keep agricultural supply chains alive by any means whilst the safety and wellbeing of everyone working along the food chain is protected.Maintain agricultural activities.Also, international cooperation is key. There is enough food in the world, and local crises can be avoided with cooperation and open trade. 

The 2008 crisis taught us that export bans are detrimental to all. They alter in adverse ways both the arrival of food where it is needed and the income of those who produce it.  

More details about the recommendations:

1.    Countries should meet the immediate food needs of their vulnerable populations.

For example: ensure emergency food needs are met; adjust and expand social protection programmes; scale up nutritional support; support management and prevention of undernourishment; adjust school meal programs so as to continue delivering school meals even when schools are shut.

For example, with the halt of the FAO-supported school meals programmes in Latin America and the Caribbean, FAO called on the region’s governments to implement measures to support children whose families have greater difficulties in accessing food, and ensure that children’s access to nutritious food is maintained. Suggested measures included: food distribution to the most vulnerable families, increase in social protection programs; exemption from taxes on basic food for families with school-age children, especially for workers in the most affected economic sectors; delivery of fresh food from local farmers and fishers/fish workers; use of digital tool (georeferenced applications) to improve communication on access points for food deliveries, distribution times, and measures to reduce the risk of COVID-19.

2.    Countries should boost their social protection programmes

This could entail: increasing transfer amounts to people already benefiting from social assistance through a one-off payment (prior to full blown impact of the crisis as an early action to mitigate impact) or ensure multiple payments to help families meet their basic needs; providing complementary entitlements to offset loss of income by small-scale producers, for example; if food insecurity becomes extremely severe due to massive layoffs, fall in remittances etc., exploring the use of food banks could be an option – through not only direct provision of food by government, but also donations from individuals, solidarity networks, non-governmental organizations; enabling mobile payment systems to prevent disruptions in delivery of cash entitlements due to restrictions on movement; injecting funds in the agricultural, fisheries and aquaculture sectors, for example through a grant facility, can help food- Micro, Small & Medium Enterprises, casual laborers, and salaried staff that cannot work to stay afloat, temporarily, while all business stops.

Many governments have already introduced or boosted protective measures to combat the impacts of the pandemic on people’s livelihoods.

3.   Countries should gain efficiencies and try to reduce trade-related costs  

These include: not impose measures that would restrict trade and mobility of commodities; reduce food waste and looses; resolve logistics bottlenecks; immediately review trade and policy options and their likely impacts; avoid generalized subsidies for food consumers; reduce restrictions on use of stocks; reduce import tariffs when governments think is appropriate to minimize, for example, when there is an increase in costs because of devaluation of their currencies and other restrictions; temporarily reduce VAT and other taxes; if needed, review taxation policy to imported goods to compensate from potential cost increases (because of exchange devaluation) and assess exchange devaluation’s potential impacts. 

Overall, avoiding any trade restrictions would be beneficial to keep food and feed supplies, as well as those of agricultural and fishery inputs, from worsening local conditions already strained by COVID-19 response measures. 

It is also important that bolstering food security is on the agenda of the more affluent countries where COVID-19 cases are currently most intensely reported. In some cases, lockdown measures could severely impact the incomes of the most vulnerable.

Policy makers must monitor trends and take care to avoid accidentally tightening food-supply conditions, something that China has managed so far with creative and adaptive methods. Digital technologies have a role to play in anticipating problems and smoothing temporary shortages as well as building the resilience of food chains to avoid similar occurrences in the future. New technologies could facilitate the interface between supply and demand, which would be of great value to highly perishable goods (like fruit, vegetables, fish and aquatic products).

Building resilience is a duty for all if we are to reap the benefits of global interdependence."
218, How should we support farmers and farmer organisations in the next months to protect them and prevent the health crisis becoming a food crisis?,"To support farmers and their organisations in the coming months, it is important to allow movement of seasonal workers and transport operators across domestic and international borders. Another good practice would be to identify collection centres closer to producers, for example develop storage facilities like warehouse receipt system platforms where farmers can deliver their produce without the need to go to markets. If possible, allow local markets to remain open, while putting in place strict physical distancing measures within and outside markets. If feasible, relocate markets to larger premises, while ensuring the appropriate infrastructure is in place to maintain quality and food safety. 

More information and policy strategies during this pandemic can be found here."
219, How has FAO responded to the COVID-19 outbreak?,"As part of its COVID-19 response, FAO’s priorities are: (1) support developing countries to anticipate and mitigate the pandemic’s impacts on their populations’ food security and livelihoods; (2) contribute to discussions on mitigating COVID-19’s impacts on global food trade and markets; (3) and support countries and research institutions in ongoing investigations to identify potential animal hosts of the virus and reduce spillover effects to humans.

For example:FAO provides policy advice, and shares guidelines and best practices to countries on: ensuring food supply chains’ continuity and protection; protecting vulnerable populations’ food security and nutrition; food safety; and ensuring readiness to rapidly detect COVID-19 in animals and animal products, if need be.FAO and the Chinese Academy of Agricultural Sciences are conducting an assessment of the impacts of the pandemic on market chains and rural livelihoods in China. Moving forward, FAO will generate food security information and analyses, impact and need assessments and other data that will allow for evidence-based interventions to shore up food security and people’s livelihoods.FAO’s experience and expertise in strengthening communities’ safety nets and resilience to food insecurity, in food safety and trade can help efforts to safeguard people’s food security, nutrition and livelihoods.

FAO is reorganizing its humanitarian and resilience programming to ensure continued delivery of assistance where there are already high levels of need while meeting new needs emerging from the effects of COVID-19. This includes: improving data gathering and analysis to inform decision-making; providing smallholder farmers and herders with seeds, tools, livestock feed and other inputs, along with animal health support, so they can continue to produce food for their families and communities and generate income; distributing seeds and home gardening kits, food storage systems, and poultry and other small stock to improve household nutrition and diversify incomes; and, supporting incomes and purchasing power through the injections of cash (unconditional transfers/cash+), so that affected families can meet critical needs without selling off their assets. 

The UN system on 25 March launched a consolidated humanitarian appeal under which FAO asked donors for $110 million to protect the food security of vulnerable rural populations. 

More info about FAO’s humanitarian response under COVID-19 here."
220,: What steps is FAO taking to protect its staff and to ensure that it will be able to continue to deliver on its mandate of fighting hunger?,"Responding to the pandemic’s impacts requires careful operational planning given the potential rapid evolution of the situation on the ground. FAO’s attention will primarily focus on vulnerable rural and coastal populations whose agricultural and fisheries-based livelihoods are affected and on buttressing food security for people in places already experience high levels of hunger.

FAO will need to take into account different business continuity scenarios and ensure the safety and well-being of staff and beneficiaries. Program criticality planning is underway at country level to ensure this.  FAO’s activities have been planned with WHO and public health authorities at country level so that they are in line, and supporting containment efforts, and ensure the safety and well-being of staff and beneficiaries. 

Our work to help countries and communities defeat hunger has not stopped. The virus has stopped some of us going to our workplace, but it hasn't stopped our work. (More info here)"
221,: What opportunities are there post COVID-19 to re-orient food systems? What are the lessons learnt from the pandemic?,"This crisis has highlighted areas of inequalities of the food system and business cannot continue as usual. The Committee on Food Security (CFS) is currently working on the Voluntary Guidelines for Food System for Nutrition, to re-orient and transform the food system to be more resilient and sustainable. The CFS also published an Interim Issues Paper on the Impact of COVID-19 on Food Security and Nutrition that adds to the reflection. FAO is also actively working on how the food systems should transform to be able to cope with pandemics like COVID-19 but also to accelerate the progress of SDG2 and 1 but assuring at the same time all trade-offs on nature are minimized."
222,: What role could major international food companies haves in addressing the impending lack of access to food in low-to-middle-income countries?,"FAO has suggested that countries create a crisis committee to deal with the impact of COVID-19 outbreak on food supply, involving, among others, ministries of agriculture, livestock and food supply, transport, economy, trade, and so forth. To ensure that strategies are adequately and fully implemented by the market operators, it is critical that this crisis committee engages the private sector, through a broader multi-stakeholder advisory committee that includes representatives of all actors in the food supply chain. For more information, please refer to this FAO brief."
223,: Will countries move towards policies that reduce their dependence on imports as a measure to improve their capacity to respond to eventual future crisis?,"We expect vegetable production to become a lot more local, but do not expect changes to the movements of staple foods (rice, maize), fruits, meat, which already constitute the foods that get transferred the most globally. One area we hope to see improve is inter-regional trade, which will result in shorter food chains, will create more markets for farmers and improve access to both inputs (seeds, fertilisers) and outputs (food products). 

Resources:

FAO policy briefs – sectors impacted by COVID-19"
224, Can I get COVID-19 from food?,"Currently, there is no evidence that the new coronavirus that causes COVID-19 can be transmitted by food. The virus is transmitted primarily by people who are infected through coughing and sneezing droplets which are then picked up by another person. 

(More info for Qs1-4 here)"
225," Can the SAR-CoV-2, the virus causing COVID-19, grow and survive on food?","Coronavirus cannot grow on food. While bacteria under the right conditions can grow on food, a virus such as the one that causes COVID-19, requires a living host in order to multiply. Though the virus can survive on objects and surfaces, it is not known how long it can survive on food and what amount of contamination would make a person sick.   "
226, How can I make sure my food is safe to eat?,"The best way to avoid COVID-19 is through good hygiene habits. Always wash your hands with soap and water for at least 20 seconds and dry thoroughly with a clean towel - after shopping, before handling food and during preparation, before eating and after using the bathroom.  All equipment and surfaces used for food preparation should be washed and sanitized.

(Follow the WHO 5 keys to safer food)"
227," As a consumer, how can I keep safe when shopping for food? Should I be concerned about food packaging?","It is important to follow the measures put in place locally at the market or supermarket and maintain physical distance from other people when selecting food items and in line. Keep hands clean and do not shop if you have any symptoms.

Handling food packaging is an unlikely cause of COVID-19. Under experimental conditions, the virus can survive on a variety of surfaces such as plastic or cardboard used in packaging, but it is unlikely that this type of exposure would be sufficient to make a person sick. Always wash your hands after unpacking food. Additional precautions include wiping down and disinfecting surfaces. Avoid touching your eyes, nose or mouth when handling food and food packages and wash reusable shopping bags regularly. "
228, What measures can food businesses put in place?,"Continue to follow national food safety regulations as well as COVID-19-related measures to protect food as well as staff. Food businesses and their operators must reinforce good hygienic practices and standard operating procedures. Strict personnel hygiene is crucial. 

(Read more - FAO/WHO COVID-19 and Food Safety: Guidance for food businesses: interim guidance available here)"
229, What are food safety regulators doing?,"Keeping all workers in the food production and supply chains healthy and safe is critical to avoid food shortages.  In order to balance this with the need to maintain the safety and integrity of the food supply chain and support international trade, food safety regulators need to prioritize critically important services during the ongoing COVID-19 pandemic.  To facilitate this, FAO and WHO have developed guidance for food safety authorities, and FAO has provided policy guidance for various aspects of food safety and food security measures in the light of the pandemic. To ensure and maintain access to safe food, it is key to reinforce the implementation of the existing international standards developed by the Codex Alimentarius Commission, in particular on food hygiene and food Import and Export Inspection and Certification.

(More info here - Guidance for food safety authorities)

(More info on risks to food supply chains here)"
230, What is FAO doing?,"FAO supports measures that ensure the continuity of supply chains so that people have access to safe and nutritious food during the pandemic. FAO is working closely with WHO to provide targeted guidance to all those in the food chain to support their efforts to maintain the safety of the food supply during this crisis. FAO is providing policy guidance for agricultural and food systems which highlight food safety as one of the important aspects to be considered.

(Read more here)"
231, How is COVID-19 affecting fisheries and aquaculture?,"The impacts of COVID-19 on the fisheries and aquaculture food systems vary, and the situation is rapidly evolving. 

Fish and fish products that are highly dependent on international trade suffered quite early in the development of the pandemic from the restrictions and closures of global markets, whereas fresh fish and shellfish supply chains were severely impacted by the closure of the food service sectors (e.g. hotels, restaurants and catering facilities, including school and work canteens). The processing sector also faced closures due to reduced/lost consumer demand. This has had a significant impact, especially on women, who form the majority of the workforce in the post-harvest sector.

The lockdowns implemented by some countries have resulted in logistical difficulties in seafood trade, particularly in relation to transportation and border restrictions. The salmon industry, in particular, suffered from increased air freight costs and cancellation of flights. The tuna industry has reported movement restrictions for professional seafarers, including at-sea fisheries observers, and marine personnel in ports, thereby preventing crew changes and repatriation of seafarers. 

Some shortages of seeds, feeds and related aquaculture items (e.g. vaccines) have also been reported, due to restrictions on transportation and travel of personnel, with particular impacts on the aquaculture industry.

As a result of the drop in demand, and resulting price drops, capture fishery production in some countries has been brought to a halt or significantly reduced, which may positively influence wild fish stocks in the short term. In aquaculture, there is growing evidence that unsold produce will result in an increase of live fish stocks, and therefore higher costs for feeding as well as greater risk of fish mortalities.  

In some areas, an increase in retail sales has been reported due to the closure of the food service industry. Canned and other preserved seafood products with a longer shelf life have profited from panic buying at the beginning of the crisis. In some markets, suppliers have developed ways to provide direct supplies to consumers (e.g. box schemes) to replace lost fresh fish sales from established retailers.

There are still many uncertainties ahead, particularly with regard to the duration and severity of the pandemic, but a prolonged market downturn is likely to introduce long-term transformations to the sector."
